,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.01
2,20,0.0,200,4020,-0.03
3,20,0.0,300,6020,0.16
4,20,0.0,400,8020,0.3
5,20,0.0,500,10020,0.23
6,20,0.0,600,12020,0.28
7,20,0.0,700,14020,0.31
8,20,0.0,800,16020,0.36
9,20,1.0,900,18020,0.49
10,20,1.0,1000,20020,0.75
