,timesteps,ep_reward,num_updates,episodes
349,16,-25.924621612220527,0,349
350,200,-381.92085494576617,0,350
351,15,-23.099197372756016,0,351
352,17,-21.600627292851428,0,352
353,14,-23.103886406291654,0,353
354,18,-18.406908188203992,0,354
355,18,-31.20893445987876,0,355
356,19,-20.54865371717112,0,356
357,14,-22.907503679916065,0,357
358,19,-30.406929605913515,0,358
359,200,-396.48592281893764,0,359
360,15,-25.91797420334279,0,360
361,14,-22.318245999345645,0,361
362,15,-24.610250218656994,0,362
363,79,-117.66251503086963,0,363
364,17,-27.648447982527564,0,364
365,16,-17.366523198631484,0,365
366,16,-24.210421226204478,0,366
367,18,-30.3977939677071,0,367
368,17,-25.799475687064525,0,368
369,15,-15.374773813466744,0,369
370,200,-392.78490109761725,0,370
371,15,-24.15742594243406,0,371
372,17,-26.1023917572172,0,372
373,18,-27.329982221569885,0,373
374,16,-26.22173056994272,0,374
375,17,-25.57100017753747,0,375
376,73,-108.16065182851497,0,376
377,78,-117.46621638863233,0,377
378,72,-109.7251014394535,0,378
379,16,-25.83795459644216,0,379
380,16,-27.83916857293695,0,380
381,16,-24.100201780109018,1,381
382,15,-14.6477904593798,0,382
383,17,-18.97944654678804,0,383
384,15,-24.96944025175081,0,384
385,200,-366.64724741557745,0,385
386,16,-23.74387112131158,0,386
387,83,-137.89718502501077,0,387
388,14,-20.942021146108605,0,388
389,16,-27.658921340483356,0,389
390,15,-15.101686525704102,0,390
391,200,-386.8400965261913,0,391
392,14,-23.095566841952532,0,392
393,200,-366.9727390928271,0,393
394,112,-185.5271562428646,0,394
395,200,-369.4461759993554,0,395
396,17,-16.583197493746844,0,396
397,14,-22.365617814069566,0,397
398,19,-33.69106553564395,0,398
399,109,-178.39588072154845,0,399
400,16,-17.321006136541342,0,400
401,14,-22.60810058078373,0,401
402,14,-23.11528234184705,0,402
403,18,-28.63574924257009,0,403
404,18,-32.90325912569206,0,404
405,14,-22.49404496341031,0,405
406,14,-22.80639928532262,0,406
407,16,-22.02117594538523,0,407
408,73,-109.1218374176322,0,408
409,17,-26.507278444608072,0,409
410,17,-26.243373196679087,0,410
411,14,-20.587853485153474,0,411
412,14,-22.421888095660478,0,412
413,14,-22.818423623037347,0,413
414,17,-17.704957095534496,0,414
415,77,-112.67767738447127,0,415
416,18,-26.47714700069791,0,416
417,16,-16.069225720177414,0,417
418,76,-114.57050035210382,0,418
419,78,-126.11897458968144,0,419
420,16,-15.751660472498196,0,420
421,200,-387.9096005774316,1,421
422,14,-23.01407009050229,0,422
423,15,-23.447671349221697,0,423
424,15,-25.63246792279036,0,424
425,200,-389.7621708326779,0,425
426,15,-15.386957511357126,0,426
427,18,-25.028256826486317,0,427
428,18,-23.32577351236054,0,428
429,15,-25.290132219158334,0,429
430,17,-20.279845690700895,0,430
431,17,-27.7188951253179,0,431
432,15,-15.039743715837405,0,432
433,18,-25.801798949418302,0,433
434,115,-180.54267665905465,0,434
435,17,-18.986335274244475,0,435
436,109,-176.68983484256103,0,436
437,16,-15.649803871020096,0,437
438,16,-25.446266452638817,0,438
439,15,-25.302545848934994,0,439
440,15,-22.202348564506895,0,440
441,16,-25.243140572629763,0,441
442,19,-27.13937278841078,0,442
443,17,-29.373734075415367,0,443
444,15,-14.786210392263106,0,444
445,15,-14.394328596910603,0,445
446,115,-181.9719853356892,0,446
447,20,-30.803872331711435,0,447
448,79,-114.69785330326161,0,448
449,14,-21.88127150429174,0,449
450,15,-23.453480389495574,0,450
451,22,-43.04296101373338,0,451
452,14,-22.29892062165588,0,452
453,21,-31.91318210097415,0,453
454,15,-23.341850611291154,0,454
455,16,-20.65381093863734,0,455
456,15,-18.994065334329058,0,456
457,15,-23.822465193607265,0,457
458,15,-14.497555197967435,0,458
459,17,-27.62846819386388,0,459
460,15,-23.2020910401414,0,460
461,14,-22.78055717117475,0,461
462,17,-20.764095288086885,0,462
463,17,-18.362150459376345,0,463
464,15,-22.50321733859682,0,464
