,timesteps,ep_reward,num_updates,episodes
0,200,63.599984377622604,0,0
1,100,19.199993699789047,0,1
2,200,51.599960058927536,0,2
3,90,20.79997882246971,0,3
4,200,71.99993976950645,0,4
5,200,89.9999289214611,0,5
6,200,61.19994327425957,0,6
7,200,60.3999830186367,0,7
8,200,70.39996501803398,0,8
9,200,49.99996230006218,0,9
10,200,67.59998708963394,0,10
11,200,75.19994756579399,1,11
12,162,69.99994966387749,0,12
13,200,81.59993895888329,0,13
14,200,99.59992238879204,0,14
15,200,65.59994694590569,0,15
16,200,91.19992932677269,0,16
17,200,106.79990455508232,0,17
18,200,87.9999290406704,0,18
19,200,81.99993607401848,0,19
20,200,65.59998741745949,0,20
21,132,71.99994739890099,1,21
22,156,95.99992510676384,0,22
23,200,126.80016240477562,0,23
24,200,105.99992820620537,0,24
25,100,60.39995023608208,0,25
26,200,119.99990007281303,0,26
27,200,121.60023054480553,0,27
28,200,132.00042888522148,0,28
29,95,57.59995290637016,0,29
30,200,118.79991611838341,0,30
31,200,94.79992243647575,0,31
32,132,79.59993800520897,0,32
33,200,150.80090686678886,1,33
34,200,189.60179182887077,0,34
35,200,200.80249354243279,0,35
36,200,183.60198482871056,0,36
37,117,79.99993166327477,0,37
38,133,114.80022904276848,0,38
39,60,52.39995786547661,0,39
40,200,166.0013230741024,0,40
41,100,65.5999468266964,0,41
42,69,50.79996237158775,0,42
43,200,160.00107821822166,0,43
44,200,147.20070561766624,0,44
45,200,197.60222801566124,1,45
46,49,52.799959510564804,0,46
47,67,63.59995040297508,0,47
48,200,200.8021863400936,0,48
49,200,246.00352451205254,0,49
50,185,240.4034741818905,0,50
51,200,232.0029751956463,0,51
52,127,110.40027782320976,0,52
53,200,253.20376560091972,0,53
54,189,184.80179366469383,0,54
55,142,114.40022084116936,0,55
56,200,164.80126163363457,0,56
57,79,59.19995293021202,0,57
58,151,135.60062870383263,1,58
59,117,121.60065206885338,0,59
60,88,112.80056163668633,0,60
61,101,116.00056001543999,0,61
62,191,230.8031766116619,0,62
63,94,114.40059968829155,0,63
64,51,53.99995490908623,0,64
65,67,57.19995340704918,0,65
66,91,114.80060741305351,0,66
67,194,232.4031384885311,0,67
68,88,114.80060741305351,0,68
69,147,183.20208713412285,0,69
70,101,118.4006516635418,0,70
71,62,59.199951499700546,0,71
72,139,165.60177013278008,0,72
73,200,224.40283998847008,0,73
74,176,238.00330767035484,0,74
75,200,280.8043210208416,1,75
76,200,302.4049318730831,0,76
77,90,116.00059971213341,0,77
78,200,310.8050839602947,0,78
79,107,121.60076460242271,0,79
80,43,49.199959486722946,0,80
81,76,111.20056316256523,0,81
82,200,266.8041547238827,0,82
83,46,50.799959510564804,0,83
84,88,111.20063945651054,0,84
85,95,116.40060743689537,0,85
86,130,182.00213596224785,0,86
87,200,306.8049176633358,0,87
88,200,291.60460636019707,0,88
89,200,311.6051022708416,1,89
90,200,306.805030554533,0,90
91,113,176.80205509066582,0,91
92,200,347.6060025393963,0,92
93,200,309.20508548617363,0,93
94,122,183.20212146639824,0,94
95,180,306.00501224398613,0,95
96,200,327.205535620451,0,96
97,200,355.2061764895916,0,97
98,109,175.20201846957207,0,98
99,200,345.20594760775566,0,99
100,74,109.60056468844414,0,100
101,171,300.8049313724041,0,101
102,177,304.80506107211113,1,102
103,200,336.00577518343925,0,103
104,191,304.8050229251385,0,104
105,200,355.20621463656425,0,105
106,179,299.6049039065838,0,106
107,200,360.0063244998455,0,107
108,200,373.20662662386894,0,108
109,200,345.205909460783,0,109
110,200,357.2062222659588,0,110
111,200,357.20618411898613,0,111
112,200,354.00618717074394,1,112
113,200,356.80617651343346,0,113
114,200,353.60613986849785,0,114
115,200,379.20672580599785,0,115
116,200,375.60668155550957,0,116
117,200,349.20603916049004,0,117
118,200,374.0066449344158,0,118
119,200,382.00682803988457,0,119
120,200,362.8063504397869,0,120
121,126,225.2032010257244,0,121
122,199,346.0060040652752,1,122
123,120,222.00316593050957,0,123
124,88,158.00171062350273,0,124
125,123,221.60311862826347,0,125
126,119,222.00316593050957,0,126
127,200,357.6062314212322,0,127
128,130,223.60316440463066,0,128
129,200,364.0064160525799,0,129
130,128,222.00316593050957,0,130
131,158,282.0045392215252,0,131
132,59,97.20024272799492,0,132
133,126,221.60315677523613,0,133
134,124,219.60311099886894,0,134
135,122,220.00312015414238,0,135
136,88,158.00171062350273,0,136
137,187,346.0060040652752,1,137
138,128,224.80323001742363,0,138
139,160,283.6045376956463,0,139
140,200,355.6062237918377,0,140
141,200,349.6060483157635,0,141
142,159,283.6045376956463,0,142
143,156,282.0045392215252,0,143
144,122,223.60320255160332,0,144
145,156,282.0045392215252,0,145
146,200,364.0064160525799,0,146
147,118,220.00312015414238,0,147
148,200,369.606544226408,0,148
149,122,220.00312015414238,0,149
150,152,282.0045392215252,1,150
151,192,346.0060040652752,0,151
152,122,222.00316593050957,0,152
153,151,284.0045849978924,0,153
154,158,283.60457584261894,0,154
155,196,344.005958288908,0,155
156,200,350.00609561800957,0,156
157,164,283.60457584261894,0,157
158,200,356.00623294711113,0,158
159,200,344.005958288908,0,159
160,200,351.6061322391033,0,160
161,200,355.6062237918377,1,161
162,200,366.00646182894707,0,162
163,200,355.20621463656425,0,163
164,200,347.60604068636894,0,164
165,155,284.0045849978924,0,165
166,122,222.00316593050957,0,166
167,200,360.0063244998455,0,167
168,149,282.0045392215252,0,168
169,200,358.0062787234783,0,169
170,162,285.6045834720135,0,170
171,200,360.0063244998455,0,171
172,200,366.00646182894707,1,172
173,190,344.005958288908,0,173
174,200,356.00623294711113,0,174
175,153,282.0045392215252,0,175
176,200,352.00614139437675,0,176
177,151,282.0045392215252,0,177
178,191,344.005958288908,0,178
179,200,372.00659915804863,0,179
180,193,346.0060040652752,0,180
181,191,347.60604068636894,0,181
182,191,344.005958288908,0,182
183,200,374.0066449344158,1,183
184,185,348.0060498416424,0,184
